1;2;3;4;5;6;7;8;9;10;11
VEP
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
6304;105.0;2018.4382301536198;935735752.4382697;19112368.297163714;12123068.167342752;687316.4252707157;0.3814959201732199;284;742;2025.303118908382
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
60;454.59762078585607;454.59762078585607;0.8;100000;454.59762078585607;100000;0;0.0;12;0
60;454.59762078585607;909.1952415717121;0.8;100000;454.59762078585607;100000;0;0.0;12;0
120;3534.4199646280235;4443.615206199735;0.8100043020890668;86839.84512479359;3534.4199646280235;96709.9612811984;0;0.0;29;0
180;18091.844226691937;22535.459432891672;0.9100117273476477;72171.26716697021;18091.844226691937;92519.85573506956;0;0.16450193594008017;43;0
240;33121.79637853597;55657.25581142764;0.8892842952595291;73278.82891616314;33121.79637853597;88516.2970777338;0;0.37400721324652186;62;0
300;38251.2612524624;93908.51706389003;1.094588485665605;72124.90468466375;38251.2612524624;82665.00070674336;0;0.5741851461133097;79;0
360;49133.31317840492;143041.83024229493;1.0706797949691644;82713.74524417875;49133.31317840492;77028.88255202088;0;0.8667499646628319;100;0
420;61868.66499210727;204910.4952344022;1.1568718270819383;102935.02446133623;61868.66499210727;70617.03610828343;32.76943860438014;1;116;3
480;72738.1505241563;277648.6457585585;0.8347755330517665;145621.25579562894;72738.1505241563;67104.05631081753;260.5733387029103;1;134;10
540;75583.37612094835;353232.0218795068;0.9687687278741082;186328.95771310938;75583.37612094835;62761.46641424668;4376.328654296121;1;145;25
600;79077.58813434697;432309.61001385376;0.8119188877752281;236177.4658875481;79077.58813434697;72084.51217924987;16630.315754980238;1;158;47
660;81346.00348899177;513655.6135028455;0.8874551899214413;285575.08253936796;81346.00348899177;98934.47118534846;34837.05571539157;1;176;57
720;90921.67585968546;604577.2893625309;1.002142115241345;340419.642250365;90921.67585968546;128250.19681149379;38335.004663317435;0.05327644073257687;199;63
780;110815.42216191663;715392.7115244475;0.8106143878735454;422052.946448834;110815.42216191663;162138.7124668796;41184.0451462477;0;213;64
840;106096.44734122326;821489.1588656708;0.8795350602746594;496486.13162016956;106096.44734122326;194112.8633428948;39889.966418487136;0;229;62
900;117326.0731436751;938815.2320093459;1.0599537751118093;575653.8688598195;117326.0731436751;226106.06480357394;41532.78543668543;0;247;60
960;123834.61687874688;1062649.8488880927;1.0179765922412867;662841.3284178801;123834.61687874688;257224.81739449917;40280.541921096825;0;266;54
1020;138624.0764466452;1201273.9253347379;0.8881762488162787;769491.0599071393;138624.0764466452;277351.0528307443;28119.821675591695;0;284;46
1080;150213.09652687592;1351487.0218616137;1.0357062735503635;882418.730586202;150213.09652687592;283275.1559420525;15245.459573261416;0;299;22
1140;159899.16533002397;1511386.1871916377;1.1237721826711307;1001862.0973400653;159899.16533002397;276767.55500084313;3606.3487028308164;0;314;14
1200;167655.30920815474;1679041.4963997924;0.8025995038712245;1140623.824408856;167655.30920815474;269544.15946600214;0;0;329;0
1260;186083.48740067397;1865124.9838004664;1.1223277007331232;1286303.5145831376;186083.48740067397;259443.21015940403;0;0;351;0
1320;196744.26650285893;2061869.2503033252;1.0792557579952908;1444194.573798166;196744.26650285893;249729.90833744642;0;0;364;0
1380;212371.39304860364;2274240.643351929;0.9361002066071967;1622866.3594089104;212371.39304860364;241305.00647798166;0;0;377;0
1440;221821.1901392452;2496061.833491174;0.8621917999247126;1813648.6447508659;221821.1901392452;233545.28027865925;0;0;387;0
1500;233227.34274863655;2729289.1762398104;1.1828852288827125;2004292.1192597249;233227.34274863655;222899.31321871484;0;0;367;0
1560;235716.25526482944;2965005.43150464;0.9346378180450508;2206361.4130749325;235716.25526482944;214487.5728563094;0;0;380;0
1620;238378.04270619212;3203383.474210832;0.8370983373520592;2414603.9156364505;238378.04270619212;206953.68782014085;0;0;384;0
1680;251655.44280900143;3455038.9170198333;0.8386865507333856;2636066.64261905;251655.44280900143;199405.5088635404;0;0;406;0
1740;265738.0973831038;3720777.014402937;1.1389977465389838;2860800.8211267507;265738.0973831038;189154.52914468953;0;0;416;0
1800;283257.3182552745;4004034.3326582117;1.0414904125467563;3106564.484530342;283257.3182552745;179781.11543176873;0;0;432;0
1860;293886.27420547814;4297920.60686369;1.122851309309752;3360028.1116006686;293886.27420547814;169675.45364798096;0;0;448;0
1920;299737.99138814426;4597658.598251834;1.091892714677527;3620457.9652604223;299737.99138814426;159848.41921588322;0;0;464;0
1980;306311.97180664854;4903970.570058482;1.0144912365818803;3890248.2525501233;306311.97180664854;150717.9980866463;0;0;478;0
2040;316490.0456260094;5220460.615684492;1.1892463055917482;4163925.43117483;316490.0456260094;140014.78133632056;0;0;494;0
2100;321369.9180041885;5541830.53368868;0.9514137508833413;4451044.454147218;321369.9180041885;131452.0575783705;0;0;511;0
2160;324731.1062486023;5866561.639937283;1.0208162525092908;4739026.175305486;324731.1062486023;122264.71130578688;0;0;530;0
2220;335896.92437282443;6202458.564310107;1.1317618657011979;5034179.672513068;335896.92437282443;112078.8545144761;0;0;541;0
2280;355196.92284742795;6557655.487157536;1.0474079009456985;5351669.910926451;355196.92284742795;102652.18340596481;0;0;556;0
2340;347129.2647879425;6904784.751945478;1.1446827601243108;5657590.596349918;347129.2647879425;92350.038564846;0;0;569;0
2400;347305.4637298037;7252090.215675281;1.0309408581027049;5967782.189188024;347305.4637298037;83099.16685840937;27.596016487699337;0.3824980717576997;577;4
2460;346578.5813418246;7598668.797017106;1.0818287344859694;6275414.936088353;346578.5813418246;73782.89545561255;420.1872075769107;0.8450416570795314;579;20
2520;332983.7401374332;7931652.5371545395;0.8183297534622649;6578938.805101145;332983.7401374332;68449.64489159075;2031.71721713859;1;578;34
2580;334168.5115203233;8265821.048674863;0.8911593102606188;6881025.581452087;334168.5115203233;68041.75247568004;7612.541376434868;1;563;61
2640;313775.3825141247;8579596.431188988;0.9157551854408429;7161833.7772903405;313775.3825141247;68346.13944415655;8546.183637444095;1;567;70
2700;312285.84220067377;8891882.273389662;0.831916790769451;7444170.615023314;312285.84220067377;81282.25460558222;20423.36627835074;1;585;89
2760;322382.7864315103;9214265.059821172;0.8931163545444121;7734401.212691225;322382.7864315103;95499.09770903645;22254.890294353943;0.9358872697208891;589;104
2820;327717.0794625375;9541982.13928371;0.8404005717638917;8031863.871570262;327717.0794625375;111788.38865823949;23852.896095078082;0.22504511454817766;598;106
2880;316421.5081667532;9858403.647450462;0.9111894412440369;8315482.55985223;316421.5081667532;127747.9571047067;24160.27341766353;0;605;103
