1;2;3;4;5;6;7;8;9;10;11
RREP
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
16935;282.0;1944.282518233478;9785992786.281124;79937946.37413068;36788019.6223295;2184290.3493343745;0.24139063447005424;1486;2747;1948.9494448381763
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
60;454.59762078585607;454.59762078585607;0.8;100000;454.59762078585607;100000;0;0.0;12;0
60;454.59762078585607;909.1952415717121;0.8;100000;454.59762078585607;100000;0;0.0;12;0
120;3534.4199646280235;4443.615206199735;0.8100043020890668;86839.84512479359;3534.4199646280235;96709.9612811984;0;0.0;29;0
180;18091.844226691937;22535.459432891672;0.9100117273476477;72171.26716697021;18091.844226691937;92519.85573506956;0;0.16450193594008014;43;0
240;33121.79637853597;55657.25581142764;0.8892842952595291;73278.82891616314;33121.79637853597;88516.2970777338;0;0.37400721324652186;62;0
300;38251.2612524624;93908.51706389003;1.094588485665605;72124.90468466375;38251.2612524624;82665.00070674336;0;0.5741851461133097;79;0
360;49133.31317840492;143041.83024229493;1.0706797949691644;82713.74524417875;49133.31317840492;77028.88255202088;0;0.8667499646628319;100;0
420;61868.66499210727;204910.4952344022;1.1568718270819383;102935.02446133623;61868.66499210727;70617.03610828343;32.76943860438014;1;116;3
480;72738.1505241563;277648.6457585585;0.8347755330517665;145621.25579562894;72738.1505241563;67104.05631081753;260.5733387029103;1;134;10
540;75583.37612094835;353232.0218795068;0.9687687278741082;186328.95771310938;75583.37612094835;62761.46641424668;4376.328654296121;1;145;25
600;79077.58813434697;432309.61001385376;0.8119188877752281;236177.4658875481;79077.58813434697;72084.51217924987;16630.315754980238;1;158;47
660;81346.00348899177;513655.6135028455;0.8874551899214413;285575.08253936796;81346.00348899177;98934.47118534846;34837.05571539157;1;176;57
720;90863.11133598592;604518.7248388315;1.002142115241345;340361.0777266655;90863.11133598592;128673.65701038572;38758.46486220937;0.05327644073257688;199;80
780;108249.06652857887;712767.7913674103;0.8106143878735454;419428.0262917967;108249.06652857887;162387.53744316215;41009.40992363832;0;213;87
840;105928.85284055528;818696.6442079656;0.8795350602746594;493693.61696246424;105928.85284055528;194108.5947704903;39636.87286980009;0;229;88
