RRE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
6147;102.0;1827.8592067727984;849131122.6873561;18312015.64459276;11496378.55650087;677960.3429786874;0.4119516512522947;457;569;1839.8265107212476;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;457.5817688158486;457.5817688158486;0.8537456976449606;85265.15488478143;457.5817688158486;96316.28872119535;0;0.0;12;0;
120;3952.313507848202;4409.8952766640505;1.138973494774893;60262.10907288528;3952.313507848202;90065.52726822131;0;0.18418556394023253;29;0;
180;18240.404736137072;22650.300012801123;1.1055098475906455;38704.15929575911;18240.404736137072;84115.93863990551;0;0.4967236365889345;43;0;
240;32700.500291931075;55350.8003047322;0.9020276102957687;38931.66561704251;32700.500291931075;79997.69014724359;0;0.7942030680047246;62;0;
300;39130.02260328601;94480.8229080182;0.9981740348367764;42127.42296620457;39130.02260328601;75014.1238337126;0;1;80;0;
360;48939.10907606929;143419.9319840875;0.9797964259154952;55793.86070931603;48939.10907606929;70195.95600047315;0;1;100;0;
420;62281.167233157095;205701.0992172446;1.060637189089105;79892.08913526534;62281.167233157095;64650.2212986712;33.68360754752035;1;116;3;
480;72399.73194509995;278100.83116234455;1.1154893404542052;112134.2048240139;72399.73194509995;58610.81723458335;268.7117866256498;1;134;10;
540;75426.49102043967;353527.3221827842;0.837543834709694;157409.1177949046;75426.49102043967;55610.85642334631;4537.933701150204;1;145;25;
600;79891.33447975242;433418.6566625366;0.8113389906088025;208092.24861274014;79891.33447975242;65436.56586576719;17127.7603579001;1;159;48;
660;81354.08679883185;514772.7434613685;1.1343060415679478;248611.3179151259;81354.08679883185;90166.92548434692;34939.113992691266;1;177;57;
720;91101.65583771154;605874.39929908;0.9731068271620213;304681.12797500467;91101.65583771154;121004.47451449526;39595.51047460653;0.49165372578265376;199;85;
780;107935.50563904204;713809.904938122;1.1049120329831768;372839.80042665236;107935.50563904204;153040.84549852664;41980.57928087996;0;213;93;
840;109580.29290978724;823390.1978479093;0.8008424213404444;453589.7661681836;109580.29290978724;187083.7072688544;41250.443562391774;0;230;94;
900;114095.1686967102;937485.3665446194;0.9781548776219205;532471.3592705047;114095.1686967102;220127.10193677878;41846.78856652167;0;248;92;
960;124633.59302909546;1062118.959573715;1.088616012936313;617914.7758338929;124633.59302909546;250666.42276482462;40336.864944472654;0;266;91;
1020;137179.04633459623;1199298.0059083113;0.8915048885081811;722999.6461821946;137179.04633459623;272603.98858344916;29961.10981519823;0;284;85;
1080;149868.05227024388;1349166.0581785552;1.1781082782215688;830455.800436462;149868.05227024388;278646.1612507618;16645.147171306795;0;300;68;
1140;161528.65924390254;1510694.7174224579;1.1605709830445934;950203.9042907592;161528.65924390254;272692.2705424584;4491.248139097948;0;314;61;
1200;167290.50686932268;1677985.2242917805;0.8122359932134214;1088253.9154043987;167290.50686932268;265468.77186123515;86.62525769753911;0;329;39;
1260;183936.48506325757;1861921.7093550381;0.8101783443973843;1243023.9800693505;183936.48506325757;258177.16676165868;0.0;0;351;23;
1320;198544.98883405674;2060466.698189095;1.0165649891173987;1404972.6292951808;198544.98883405674;249028.0818596021;0.0;0;364;23;
1380;211267.97524487256;2271734.6734339674;1.1756596651114042;1573916.8565960426;211267.97524487256;238447.14487359946;0.0;0;376;24;
1440;222197.0931614092;2493931.7665953767;0.952481695075285;1761824.6087347416;222197.0931614092;229874.80961792188;0.0;0;386;24;
1500;232026.81019815468;2725958.5767935314;0.8866397588522453;1961932.3876142155;232026.81019815468;221895.05178825167;0.0;0;366;25;
1560;232726.14343993345;2958684.720233465;0.9688466302330869;2159780.052365758;232726.14343993345;213175.43211615388;0.0;0;368;23;
1620;231048.20754592394;3189732.927779389;0.8116163150299472;2361610.072570604;231048.20754592394;205870.88528088437;0.0;0;355;18;
1680;252216.96960921327;3441949.897388602;0.8886766665092141;2581834.682185485;252216.96960921327;197872.79528230143;0.0;0;370;25;
1740;257945.40186034585;3699895.2992489478;0.9751550374602288;2804674.502697263;257945.40186034585;189096.39994515938;0.0;0;380;25;
1800;273942.4487921654;3973837.748041113;0.9983248965527403;3042677.2552135293;273942.4487921654;180111.47587618473;0.0;0;395;31;
1860;285719.88565889077;4259557.633700004;0.8932337801030291;3296240.7247887114;285719.88565889077;172072.37185525746;0.0;0;409;34;
1920;282600.8478053787;4542158.481505383;0.8923466166163937;3546717.0943959;282600.8478053787;164041.2523057099;0.0;0;422;30;
1980;294769.8440413789;4836928.325546762;0.8875124149350755;3809536.4914996163;294769.8440413789;156053.64057129424;0.0;0;429;33;
2040;301210.2164949443;5138138.542041706;0.9838413862950934;4075328.4180879374;301210.2164949443;147199.0680946384;0.0;0;442;34;
