VEP;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
6301;105.0;1990.6793043158186;925303755.7664543;18982551.642731216;11932048.63263314;699586.821870755;0.40856115953800104;306;720;2004.9912280701753;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;457.5817688158486;457.5817688158486;0.8537456976449606;85265.15488478143;457.5817688158486;96316.28872119535;0;0.0;12;0;
120;3952.313507848202;4409.8952766640505;1.138973494774893;60262.10907288528;3952.313507848202;90065.52726822131;0;0.18418556394023253;29;0;
180;18240.404736137072;22650.300012801123;1.1055098475906455;38704.15929575911;18240.404736137072;84115.93863990551;0;0.4967236365889345;43;0;
240;32700.500291931075;55350.8003047322;0.9020276102957687;38931.66561704251;32700.500291931075;79997.69014724359;0;0.7942030680047246;62;0;
300;39130.02260328601;94480.8229080182;0.9981740348367764;42127.42296620457;39130.02260328601;75014.1238337126;0;1;80;0;
360;48939.10907606929;143419.9319840875;0.9797964259154952;55793.86070931603;48939.10907606929;70195.95600047315;0;1;100;0;
420;62281.167233157095;205701.0992172446;1.060637189089105;79892.08913526534;62281.167233157095;64650.2212986712;33.68360754752035;1;116;3;
480;72399.73194509995;278100.83116234455;1.1154893404542052;112134.2048240139;72399.73194509995;58610.81723458335;268.7117866256498;1;134;10;
540;75426.49102043967;353527.3221827842;0.837543834709694;157409.1177949046;75426.49102043967;55610.85642334631;4537.933701150204;1;145;25;
600;79891.33447975242;433418.6566625366;0.8113389906088025;208092.24861274014;79891.33447975242;65436.56586576719;17127.7603579001;1;159;48;
660;81354.08679883185;514772.7434613685;1.1343060415679478;248611.3179151259;81354.08679883185;90166.92548434692;34939.113992691266;1;177;57;
720;91824.00143445408;606596.7448958226;0.9731068271620213;305403.4735717472;91824.00143445408;120056.7489341334;38647.78489424467;0.49165372578265376;199;78;
780;107448.57035180693;714045.3152476295;1.1049120329831768;373075.21073615976;107448.57035180693;150159.3065575807;40046.76592029589;0;213;84;
840;106514.05059392765;820559.3658415572;0.8008424213404444;450758.93416183145;106514.05059392765;183430.97810216324;40479.253336646536;0;230;82;
900;120113.23023998264;940672.5960815398;0.9781548776219205;535658.588807425;120113.23023998264;216505.80439399515;41878.2201904292;0;248;80;
960;121912.03867414629;1062584.634755686;1.088616012936313;618380.451015864;121912.03867414629;247259.9007858952;40551.640508326884;0;266;74;
1020;137311.05388170597;1199895.688637392;0.8915048885081811;723597.3289112755;137311.05388170597;268542.81971130427;29306.46292198269;0;284;66;
1080;148497.86593403397;1348393.5545714258;1.1781082782215688;829683.2968293331;148497.86593403397;274061.99198196223;16122.146774652085;0;300;42;
1140;156660.88858734214;1505054.443158768;1.1605709830445934;944563.6300270698;156660.88858734214;267214.07366189244;3597.2205273316067;0;314;34;
1200;168105.12177466886;1673159.5649334367;0.8122359932134214;1083428.2560460556;168105.12177466886;259947.91262758453;43.96290461285825;0;329;10;
1260;179498.75373189847;1852658.3186653352;0.8101783443973843;1233760.5893796482;179498.75373189847;252656.30752800807;0;0;351;0;
1320;196359.21370893877;2049017.532374274;1.0165649891173987;1393523.4634803606;196359.21370893877;243507.2226259515;0;0;364;0;
1380;211631.75856141903;2260649.290935693;1.1756596651114042;1562831.474097769;211631.75856141903;232926.28563994885;0;0;376;0;
1440;220791.93034678273;2481441.2212824756;0.952481695075285;1749334.0634218415;220791.93034678273;224353.95038427127;0;0;387;0;
1500;229998.14298420167;2711439.3642666773;0.8866397588522453;1947413.1750873623;229998.14298420167;216374.19255460106;0;0;366;0;
1560;235486.54777549522;2946925.9120421726;0.9688466302330869;2148021.2441744665;235486.54777549522;207654.57288250327;0;0;373;0;
1620;232950.3900821637;3179876.3021243364;0.8116163150299472;2351753.446915552;232950.3900821637;200350.02604723375;0;0;367;0;
1680;254600.06227379479;3434476.364398131;0.8886766665092141;2574361.149195015;254600.06227379479;192351.93604865082;0;0;386;0;
1740;262554.5598525259;3697030.924250657;0.9751550374602288;2801810.127698973;262554.5598525259;183575.54071150877;0;0;396;0;
1800;277845.5090334201;3974876.4332840773;0.9983248965527403;3043715.940456494;277845.5090334201;174590.61664253412;0;0;413;0;
1860;294208.75956955925;4269085.192853637;0.8932337801030291;3305768.2839423446;294208.75956955925;166551.51262160685;0;0;429;0;
1920;298812.6919651362;4567897.884818774;0.8923466166163937;3572456.4977092906;298812.6919651362;158520.3930720593;0;0;444;0;
1980;302921.06371283054;4870818.948531604;0.8875124149350755;3843427.1144844587;302921.06371283054;150532.78133764362;0;0;458;0;
2040;315848.908615303;5186667.857146908;0.9838413862950934;4123857.733193138;315848.908615303;141678.2088609878;0;0;474;0;
