1;2;3;4;5;6;7;8;9;10;11
baseline
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
16907;282.0;2250.9760388867708;21176893386.52718;160348819.887582;38856253.86123105;2217764.4364796677;0.18308027935622975;409;4546;2248.240565085772
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
60;12662.049450800805;12662.049450800805;0.8;100000;12662.049450800805;100000;0;0.0;18;0
60;12662.049450800805;25324.09890160161;0.8;100000;12662.049450800805;100000;0;0.0;18;0
120;20456.025420615097;45780.12432221671;0.8100043020890668;91295.87054540869;20456.025420615097;96709.9612811984;0;0.0;36;0
180;37885.071539541495;83665.1958617582;0.9100117273476477;96420.51990043488;37885.071539541495;92519.85573506956;0;0.16450193594008014;55;0
240;70529.62848658794;154194.82434834616;0.8892842952595291;134935.91375767978;70529.62848658794;88516.2970777338;0;0.37400721324652186;79;0
300;72986.8739404368;227181.69828878297;1.094588485665605;168517.6022141548;72986.8739404368;82665.00070674336;0;0.5741851461133097;98;0
360;91638.6541026508;318820.3523914338;1.0706797949691644;221611.78369791567;91638.6541026508;77028.88255202088;0;0.8667499646628319;121;0
420;107946.12739949374;426766.4797909275;1.1568718270819383;287910.52532245964;107946.12739949374;70617.03610828343;27.383676719012325;1;139;3
480;121744.34954718918;548510.8293381167;0.8347755330517665;379602.9556797852;121744.34954718918;69448.36887265333;6344.3125618358035;1;161;15
540;143495.04998799702;692005.8793261137;0.9687687278741082;488222.33146431437;143495.04998799702;80424.24041203753;19694.790090251176;1;179;37
600;151662.19501020195;843668.0743363157;0.8119188877752281;610655.4465146081;151662.19501020195;114568.3561594405;41451.38573738003;0.9787879793981236;197;50
660;176433.53504052828;1020101.609376844;0.8874551899214413;755140.5947179645;176433.53504052828;157011.88625102496;50430.62680087742;0;218;53
720;195550.9313039929;1215652.540680837;1.002142115241345;914614.409873269;195550.9313039929;199639.9144764049;51647.307262552014;0;245;53
780;214893.59716962138;1430546.1378504583;0.8106143878735454;1100325.8890794427;214893.59716962138;247283.98612377615;54939.601138233156;0;259;53
840;227521.2942765671;1658067.4321270254;0.8795350602746594;1296183.921186122;227521.2942765671;292276.1125085239;52907.94192721972;0;279;51
900;242208.37721597438;1900275.809343;1.0599537751118093;1500233.9624980714;242208.37721597438;332498.790798585;49762.26226606741;0;300;48
960;257700.0599638291;2157975.869306829;1.0179765922412867;1721286.865141214;257700.0599638291;364106.80499231786;40769.8035239045;0;322;39
1020;279126.6139960758;2437102.4833029048;0.8881762488162787;1968439.1341799037;279126.6139960758;369049.2002052126;12935.981452241223;0;341;21
1080;307344.4505150343;2744446.933817939;1.0357062735503635;2238498.158847125;307344.4505150343;363924.8567284858;4197.012985226478;0;362;8
1140;325612.6751489393;3070059.608966878;1.1237721826711307;2523655.035419903;325612.6751489393;353810.9070844456;0;0;381;0
1200;346790.6863939679;3416850.295360846;0.8025995038712245;2841552.139674507;346790.6863939679;346587.5115496046;0;0;398;0
1260;360242.8315577005;3777093.1269185464;1.1223277007331232;3161391.174005815;360242.8315577005;336486.5622430065;0;0;421;0
1320;379302.58738598396;4156395.7143045305;1.0792557579952908;3501840.5541039687;379302.58738598396;326773.26042104885;0;0;437;0
1380;393498.36159999145;4549894.075904522;0.9361002066071967;3861639.308266101;393498.36159999145;318348.3585615841;0;0;443;0
1440;390618.9829269424;4940513.0588314645;0.8621917999247126;4221219.386395754;390618.9829269424;310588.63236226165;0;0;444;0
1500;396856.1538740239;5337369.212705488;1.1828852288827125;4575491.67203;396856.1538740239;299942.66530231724;0;0;447;0
1560;411692.7783425875;5749061.991048076;0.9346378180450508;4953537.488922966;411692.7783425875;291530.9249399118;0;0;462;0
1620;433188.39196531725;6182250.383013394;0.8370983373520592;5356590.340743609;433188.39196531725;283997.0399037433;0;0;480;0
1680;465359.83071382466;6647610.213727218;0.8386865507333856;5791757.455631032;465359.83071382466;276448.8609471428;0;0;505;0
1740;489706.2435508809;7137316.457278099;1.1389977465389838;6240459.780306509;489706.2435508809;266197.88122829195;0;0;516;0
1800;501702.76898718934;7639019.226265288;1.0414904125467563;6704668.894442014;501702.76898718934;256824.46751537116;0;0;533;0
1860;523400.7538499913;8162419.98011528;1.122851309309752;7187647.001156855;523400.7538499913;246718.8057315834;0;0;552;0
1920;534027.5170597937;8696447.497175073;1.091892714677527;7682366.380488258;534027.5170597937;236891.77129948564;0;0;571;0
